1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
0	W	115
4	J	628
4	R	628
4	W	628
0	R	628
4	J	668
4	R	668
4	W	668
0	R	668
4	J	776
4	R	776
4	W	776
0	R	776
4	J	831
4	R	831
4	W	831
0	R	831
4	J	843
4	R	843
4	W	844
0	R	844
4	J	899
4	R	899
4	W	899
0	R	899
4	J	920
4	R	920
4	W	920
0	R	921
4	J	947
4	R	947
4	W	947
0	R	947
4	J	1024
4	R	1024
4	W	1030
0	R	1030
4	J	1092
4	R	1092
4	W	1092
0	R	1092
4	J	1350
4	R	1351
6	N	1352
6	J	1352
4	W	1353
6	R	1353
7	N	1355
7	J	1355
8	N	1355
8	J	1355
9	N	1356
9	J	1356
10	N	1357
10	J	1357
6	E	1357
4	J	1357
10	R	1357
10	J	1372
9	R	1372
9	J	1387
8	R	1387
8	W	1387
7	R	1387
7	J	1402
4	R	1402
11	N	1402
11	J	1402
4	W	1403
11	R	1403
4	J	1405
11	E	1406
4	R	1406
4	W	1406
10	R	1406
10	J	1421
9	R	1421
9	J	1436
7	R	1436
7	J	1451
10	R	1451
10	J	1466
9	R	1466
9	J	1481
7	R	1481
8	J	1496
7	J	1496
8	R	1496
8	W	1496
10	R	1496
10	J	1511
9	R	1511
9	J	1526
7	R	1526
7	J	1541
10	R	1541
10	J	1556
9	R	1556
9	J	1571
7	R	1571
7	J	1586
10	R	1586
8	J	1601
10	J	1601
8	R	1601
8	W	1601
9	R	1601
9	J	1616
7	R	1616
7	J	1631
10	R	1631
10	W	1641
9	R	1641
9	W	1651
7	R	1651
7	W	1661
0	R	1661
8	J	1702
8	R	1702
8	W	1702
0	R	1702
10	J	1742
10	R	1742
10	W	1742
0	R	1742
9	J	1752
9	R	1752
7	J	1772
9	J	1772
7	R	1772
7	W	1772
9	R	1772
8	J	1817
9	J	1817
8	R	1817
8	W	1817
9	R	1817
10	J	1847
9	J	1847
10	R	1847
10	W	1847
9	R	1847
9	W	1852
0	R	1852
7	J	1873
7	R	1873
7	W	1873
0	R	1873
8	J	1918
8	R	1918
8	W	1918
0	R	1918
10	J	1948
10	R	1948
10	W	1948
0	R	1948
9	J	1953
9	R	1953
7	J	1978
9	J	1978
7	R	1978
7	W	1978
9	R	1978
8	J	2023
9	J	2023
8	R	2023
8	W	2023
9	R	2023
10	J	2053
9	J	2053
10	R	2053
10	W	2053
9	R	2053
9	W	2053
0	R	2053
7	J	2079
7	R	2079
7	W	2079
0	R	2079
8	J	2124
8	R	2124
8	W	2124
0	R	2124
10	J	2154
9	J	2154
10	R	2154
10	W	2154
9	R	2154
7	J	2184
9	J	2184
7	R	2184
7	W	2184
9	R	2184
8	J	2229
9	J	2229
8	R	2229
8	W	2229
9	R	2229
9	W	2254
0	R	2254
10	J	2255
10	R	2255
10	W	2255
0	R	2255
7	J	2285
7	R	2285
7	W	2285
0	R	2285
8	J	2330
8	R	2330
8	W	2330
0	R	2330
9	J	2355
9	R	2355
10	J	2360
9	J	2360
10	R	2360
10	W	2360
9	R	2360
7	J	2390
9	J	2390
7	R	2390
7	W	2390
9	R	2390
8	J	2435
9	J	2435
8	R	2435
12	N	2435
12	J	2435
13	N	2436
13	J	2436
8	E	2436
1	J	2436
1	R	2436
1	W	2436
13	R	2436
13	J	2452
12	R	2452
10	J	2467
12	J	2467
10	R	2467
10	W	2467
13	R	2467
13	J	2482
9	R	2482
7	J	2497
9	J	2497
7	R	2497
7	W	2497
12	R	2497
12	J	2512
13	R	2512
